Location;Latitude;Longitude;country_std;region_std;location_key;avg_harvest_start_to_2007
Alsace;48.17000;7.28000;France;Alsace;france|alsace;39.3946
Auvergne;45.58000;3.17000;France;Auvergne;france|auvergne;
Auxerre-Avalon;47.78000;3.57000;France;Auxerre-Avalon;france|auxerre avalon;
Beaujolais and Maconnais;46.24000;4.58000;France;Beaujolais and Maconnais;france|beaujolais and maconnais;22.3333
Bordeaux;45.18000;-0.75000;France;Bordeaux;france|bordeaux;22.1193
Burgundy;47.32000;5.04000;France;Burgundy;france|burgundy;24.4368
Champagne;48.51000;4.12500;France;Champagne;france|champagne;24.1667
Gaillac- South-West;43.90000;1.90000;France;Gaillac- South-West;france|gaillac south west;
Germany;48.77000;9.17000;Germany;Germany;germany|germany;
High Loire Valley;47.07000;2.00000;France;High Loire Valley;france|high loire valley;
Ile de France;48.93000;2.23000;France;Ile de France;france|ile de france;30.0000
Jura;46.93000;5.88000;France;Jura;france|jura;33.8889
Languedoc;43.60000;3.87000;France;Languedoc;france|languedoc;21.9842
Low Loire Valley;47.15000;0.22000;France;Low Loire Valley;france|low loire valley;35.6564
Luxembourg;49.67000;6.13000;Luxembourg;Luxembourg;luxembourg|luxembourg;
Maritime alps;43.50000;6.00000;France;Maritime alps;france|maritime alps;
Northern Italy;46.22000;10.17000;Italy;Northern Italy;italy|northern italy;
Northern Lorraine;48.68000;5.88000;France;Northern Lorraine;france|northern lorraine;
Northern Rhone Valley;45.48000;4.83000;France;Northern Rhone Valley;france|northern rhone valley;29.1395
Savoie;45.60000;6.00000;France;Savoie;france|savoie;
Southern Lorraine;47.98000;5.88000;France;Southern Lorraine;france|southern lorraine;
Southern Rhone Valley;43.98000;5.05000;France;Southern Rhone Valley;france|southern rhone valley;20.4070
Spain;42.34000;-3.30000;Spain;Spain;spain|spain;42.0517
Switzerland (Leman Lake);46.57000;6.52000;Switzerland;Switzerland (Leman Lake);switzerland|switzerland leman lake;26.2155
Various South-East;43.74000;3.47000;France;Various South-East;france|various south east;
Vendée - Poitou Charente;46.45000;-1.50000;France;Vendée - Poitou Charente;france|vendee poitou charente;
