feature,support_ratio,concept_weight,implication_weight,importance_score
harvest_for_vintage_missing,0.9984496124031008,4799.030232558147,6.699534883720932,4806.728217054271
avg_harvest_start_to_2007_missing,0.8612403100775193,3131.378294573647,6.493643410852713,3138.733178294577
Closure_Natural Cork,0.6465116279069767,1495.7992248061987,2.503255813953488,1498.948992248059
region_clean_Other,0.5612403100775194,1021.4627906976748,4.10015503875969,1026.124186046512
Type_White,0.45271317829457364,860.198449612402,3.2260465116279087,863.8772093023246
abv_num_low,0.44728682170542633,718.8395348837215,2.358759689922481,721.6455813953495
Type_Red,0.44108527131782943,714.6387596899224,3.5872868217054275,718.6671317829456
vintage_year_low,0.4007751937984496,524.800775193799,1.225736434108527,526.427286821706
Country_France,0.3891472868217054,479.91705426356646,2.282480620155039,482.58868217054317
Style_Other,0.3829457364341085,417.3713178294577,2.69922480620155,420.4534883720934
price_num_low,0.3488372093023256,345.3341085271327,1.474418604651163,347.1573643410861
abv_num_mid,0.34031007751937986,330.87829457364376,1.5320930232558136,332.750697674419
price_num_mid,0.33410852713178296,316.3000000000001,1.0316279069767442,317.6657364341086
price_num_high,0.31705426356589145,292.96124031007747,2.40062015503876,295.6789147286821
Closure_Screwcap,0.3209302325581395,288.009302325582,2.0244961240310078,290.3547286821711
vintage_year_high,0.2558139534883721,202.82713178294588,1.4130232558139533,204.4959689922482
grape::Chardonnay,0.18372093023255814,116.35038759689925,1.7671317829457365,118.30124031007755
char::Peach,0.18992248062015504,116.4906976744186,0.763720930232558,117.4443410852713
abv_num_high,0.2054263565891473,102.04186046511632,1.0567441860465117,103.30403100775197
char::Vanilla,0.2007751937984496,97.08062015503877,1.4948837209302317,98.77627906976745
vintage_year_mid,0.2054263565891473,93.63565891472868,0.6502325581395348,94.49131782945736
char::Citrus Fruit,0.18527131782945735,92.83643410852709,0.8074418604651162,93.82914728682167
char::Green Apple,0.18914728682170542,87.78217054263564,1.5665116279069766,89.53782945736432
char::Raspberry,0.14728682170542637,60.98449612403098,0.6613953488372093,61.79317829457362
char::Lemon,0.15658914728682172,53.66976744186046,1.4948837209302321,55.32124031007751
char::Red Fruit,0.15891472868217055,49.37596899224807,1.2037209302325582,50.738604651162795
char::Strawberry,0.13178294573643412,48.61550387596896,0.5488372093023255,49.29612403100772
Country_Other,0.16511627906976745,46.82868217054264,0.31906976744186044,47.312868217054266
vintage_year_missing,0.13798449612403102,43.15271317829459,1.053953488372093,44.34465116279072
char::Spice,0.1387596899224806,40.70775193798448,0.5116279069767442,41.358139534883705
Style_Rich & Toasty,0.10930232558139535,38.50620155038759,0.7934883720930233,39.408992248062006
char::Black Plum,0.12790697674418605,34.99767441860465,0.9488372093023255,36.074418604651164
region_clean_Unknown,0.12868217054263567,32.89689922480622,1.071937984496124,34.09751937984498
avg_harvest_start_to_2007_low,0.1325581395348837,30.408527131782943,0.6353488372093022,31.17643410852713
char::Blackberry,0.12403100775193798,29.65968992248062,0.7851162790697674,30.568837209302327
Type_Rosé,0.09612403100775194,23.585271317829466,0.6310077519379844,24.312403100775203
Style_Savoury & Full Bodied,0.11937984496124031,22.95271317829458,0.5944186046511628,23.666511627906985
char::Black Fruit,0.11627906976744186,20.868992248062014,1.1172093023255814,22.102480620155035
Country_Italy,0.11395348837209303,18.268992248062016,0.173953488372093,18.5568992248062
Style_Bold & Spicy,0.08759689922480621,11.761240310077524,0.10511627906976745,11.953953488372097
grape::Pinot Noir,0.08992248062015504,11.130232558139534,0.26325581395348835,11.483410852713178
Style_Light & Elegant,0.08062015503875969,8.02093023255814,0.3516279069767442,8.453178294573645
Style_Crisp & Zesty,0.07596899224806201,7.866666666666665,0.4362790697674419,8.378914728682169
region_clean_Burgundy,0.08062015503875969,7.332558139534885,0.2973643410852713,7.710542635658915
grape::Sauvignon Blanc,0.07906976744186046,6.8968992248062015,0.7320930232558142,7.708062015503876
Country_Spain,0.08759689922480621,7.098449612403101,0.18604651162790697,7.372093023255815
Country_Australia,0.07441860465116279,5.836434108527131,0.24589147286821705,6.15674418604651
Style_Fresh & Elegant ,0.07364341085271318,4.717054263565892,0.21767441860465114,5.008372093023256
Style_Ripe & Rounded,0.07054263565891473,3.9922480620155043,0.3665116279069767,4.429302325581396
Country_New Zealand,0.07054263565891473,3.6961240310077526,0.3900775193798449,4.156744186046512
grape::Cabernet Sauvignon,0.06744186046511629,3.9410852713178293,0.12651162790697673,4.135038759689922
grape::Grenache,0.06356589147286822,2.882945736434108,0.11255813953488371,3.0590697674418594
Country_South Africa,0.059689922480620154,2.0891472868217056,0.07162790697674418,2.22046511627907
region_clean_Marlborough,0.050387596899224806,1.2015503875968991,0.13209302325581396,1.384031007751938
region_clean_Bordeaux,0.05193798449612403,1.0310077519379846,0.2511627906976744,1.334108527131783
region_clean_South Australia,0.043410852713178294,0.6077519379844961,0.05209302325581395,0.7032558139534885
region_clean_Loire,0.04573643410852713,0.5945736434108527,0.054883720930232555,0.6951937984496124
Country_USA,0.03953488372093023,0.03953488372093023,0.047441860465116274,0.12651162790697673
region_clean_Rhône,0.03798449612403101,0.0,0.045581395348837206,0.08356589147286822
Closure_Synthetic Cork,0.018604651162790697,0.0,0.0,0.018604651162790697
Closure_Unknown,0.008527131782945736,0.0,0.0,0.008527131782945736
abv_num_missing,0.0069767441860465115,0.0,0.0,0.0069767441860465115
avg_harvest_start_to_2007_mid,0.006201550387596899,0.0,0.0,0.006201550387596899
Closure_Vinolok,0.005426356589147287,0.0,0.0,0.005426356589147287
Type_Unknown,0.003875968992248062,0.0,0.0,0.003875968992248062
Type_Tawny,0.0031007751937984496,0.0,0.0,0.0031007751937984496
Type_Orange,0.0015503875968992248,0.0,0.0,0.0015503875968992248
Type_Brown,0.0007751937984496124,0.0,0.0,0.0007751937984496124
Type_Other,0.0007751937984496124,0.0,0.0,0.0007751937984496124
harvest_for_vintage_low,0.0007751937984496124,0.0,0.0,0.0007751937984496124
harvest_for_vintage_mid,0.0007751937984496124,0.0,0.0,0.0007751937984496124
